specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,baseline_temp,correction,s_tensor,aniso_type,NLT_beta
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.24e-07,0.0,-5.8224756226494885e-08,1.0634969306724717e-07,2.5992701800073904e-08,0.0,0.0,0.0,,0.0,2.5e-05,ZI,273.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.26e-07,2.7031549512640147e-09,-6.06516665971496e-08,1.0633369111528556e-07,2.984160640426795e-08,-5.697469203536704e-10,-2.400355273608608e-09,-1.104866370992443e-09,,,2.5e-05,ZI,373.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.23e-07,1.2629600664108801e-09,-5.986060556014831e-08,1.0410078365224289e-07,2.6622072514386653e-08,-4.9523315114289414e-11,9.328534415564445e-10,8.499411904272924e-10,,,2.5e-05,ZI,398.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.25e-07,3.15134747254454e-09,-6.095674444629016e-08,1.0515590224391255e-07,2.9180670481988173e-08,-1.9897501266866685e-09,-2.4365588761570844e-09,1.8725963014854327e-10,,,2.5e-05,ZI,423.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.23e-07,2.3705900881524263e-09,-6.33064072996491e-08,1.01705996540088e-07,2.7878110814733167e-08,1.1789201636883887e-10,-5.83233693416452e-10,2.294697648359544e-09,,,2.5e-05,ZI,448.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.2099999999999998e-07,6.453495148076203e-09,-6.250370877165549e-08,1.0080816232325482e-07,2.3916538185874263e-08,9.113562221739301e-10,1.294647319134037e-09,6.256270277218448e-09,,,2.5e-05,ZI,473.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.1800000000000001e-07,8.124340707859708e-09,-5.929555806440174e-08,9.90756579660294e-08,2.4332093876802303e-08,-1.2799988405483975e-09,5.536305511780123e-10,8.003749628666771e-09,,,2.5e-05,ZI,498.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.14e-07,1.1947846638733885e-08,-5.7743066358669356e-08,9.534513517944027e-08,2.3896516171035685e-08,1.2037297403329491e-09,6.396113886724541e-10,1.1869834509647684e-08,,,2.5e-05,ZI,523.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.0900000000000001e-07,8.84678225556447e-09,-5.557505580729284e-08,8.998368378431027e-08,2.6369486620363786e-08,2.9142982677851123e-09,1.3440213413907132e-10,8.351907443817485e-09,,,2.5e-05,ZI,548.0,,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.01e-07,1.4114989335866637e-08,-5.1021640503798385e-08,8.39158565285723e-08,2.3577981749446445e-08,-1.3963476272694795e-09,-2.266448833170301e-09,1.3861686295038881e-08,,,2.5e-05,ZI,573.0,,1,,,
