tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	number	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Bowles	10.1029/2005GC001141			118.7	12.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.24e-07		273.0	0	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	1		AL2360-1a	u			0.0	0.0	0.0		273.0
Bowles	10.1029/2005GC001141			119.7	13.7	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.26e-07		273.0	1	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	2		AL2360-1a	u			0.0	0.0	0.0		373.0
Bowles	10.1029/2005GC001141			120.5	13.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.24e-07		273.0	2	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	3		AL2360-1a	u			2.5e-05	0.0	90.0		373.0
Bowles	10.1029/2005GC001141			119.9	12.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.23e-07		273.0	3	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	4		AL2360-1a	u			0.0	0.0	0.0		398.0
Bowles	10.1029/2005GC001141			119.7	12.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.24e-07		273.0	4	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	5		AL2360-1a	u			2.5e-05	0.0	90.0		398.0
Bowles	10.1029/2005GC001141			120.1	13.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.25e-07		273.0	5	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	6		AL2360-1a	u			0.0	0.0	0.0		423.0
Bowles	10.1029/2005GC001141			119.7	13.3	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.2099999999999998e-07		273.0	6	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	7		AL2360-1a	u			2.5e-05	0.0	90.0		373.0
Bowles	10.1029/2005GC001141			121.5	13.7	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.24e-07		273.0	7	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	8		AL2360-1a	u			2.5e-05	0.0	90.0		423.0
Bowles	10.1029/2005GC001141			121.9	13.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.23e-07		273.0	8	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	9		AL2360-1a	u			0.0	0.0	0.0		448.0
Bowles	10.1029/2005GC001141			122.0	14.2	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.23e-07		273.0	9	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	10		AL2360-1a	u			2.5e-05	0.0	90.0		448.0
Bowles	10.1029/2005GC001141			121.8	11.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.2099999999999998e-07		273.0	10	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	11		AL2360-1a	u			0.0	0.0	0.0		473.0
Bowles	10.1029/2005GC001141			119.2	13.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.2099999999999998e-07		273.0	11	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	12		AL2360-1a	u			2.5e-05	0.0	90.0		423.0
Bowles	10.1029/2005GC001141			121.1	14.2	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.23e-07		273.0	12	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	13		AL2360-1a	u			2.5e-05	0.0	90.0		473.0
Bowles	10.1029/2005GC001141			120.9	11.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.1800000000000001e-07		273.0	13	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	14		AL2360-1a	u			0.0	0.0	0.0		498.0
Bowles	10.1029/2005GC001141			121.3	15.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.2099999999999998e-07		273.0	14	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	15		AL2360-1a	u			2.5e-05	0.0	90.0		498.0
Bowles	10.1029/2005GC001141			121.2	12.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.14e-07		273.0	15	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	16		AL2360-1a	u			0.0	0.0	0.0		523.0
Bowles	10.1029/2005GC001141			122.3	15.3	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.1699999999999999e-07		273.0	16	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	17		AL2360-1a	u			2.5e-05	0.0	90.0		473.0
Bowles	10.1029/2005GC001141			120.5	17.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.1699999999999999e-07		273.0	17	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	18		AL2360-1a	u			2.5e-05	0.0	90.0		523.0
Bowles	10.1029/2005GC001141			121.7	14.0	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.0900000000000001e-07		273.0	18	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	19		AL2360-1a	u			0.0	0.0	0.0		548.0
Bowles	10.1029/2005GC001141			120.3	18.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.1e-07		273.0	19	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	20		AL2360-1a	u			2.5e-05	0.0	90.0		548.0
Bowles	10.1029/2005GC001141			121.3	13.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.0099999999999999e-07		273.0	20	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	21		AL2360-1a	u			0.0	0.0	0.0		573.0
Bowles	10.1029/2005GC001141			120.8	18.7	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.04e-07		273.0	21	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	22		AL2360-1a	u			2.5e-05	0.0	90.0		523.0
Bowles	10.1029/2005GC001141			122.7	21.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.04e-07		273.0	22	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	23		AL2360-1a	u			2.5e-05	0.0	90.0		573.0
Bowles	10.1029/2005GC001141			121.9	15.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9.06e-08		273.0	23	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	24		AL2360-1a	u			0.0	0.0	0.0		598.0
Bowles	10.1029/2005GC001141			120.0	29.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9.76e-08		273.0	24	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	25		AL2360-1a	u			2.5e-05	0.0	90.0		598.0
Bowles	10.1029/2005GC001141			123.0	14.3	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.369999999999999e-08		273.0	25	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	26		AL2360-1a	u			0.0	0.0	0.0		623.0
Bowles	10.1029/2005GC001141			122.4	26.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9e-08		273.0	26	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	27		AL2360-1a	u			2.5e-05	0.0	90.0		573.0
Bowles	10.1029/2005GC001141			123.7	31.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9.300000000000001e-08		273.0	27	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	28		AL2360-1a	u			2.5e-05	0.0	90.0		623.0
Bowles	10.1029/2005GC001141			124.2	16.2	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		7.96e-08		273.0	28	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	29		AL2360-1a	u			0.0	0.0	0.0		648.0
Bowles	10.1029/2005GC001141			121.4	33.0	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.97e-08		273.0	29	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	30		AL2360-1a	u			2.5e-05	0.0	90.0		648.0
Bowles	10.1029/2005GC001141			121.5	12.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		7.26e-08		273.0	30	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	31		AL2360-1a	u			0.0	0.0	0.0		673.0
Bowles	10.1029/2005GC001141			122.2	31.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		7.98e-08		273.0	31	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	32		AL2360-1a	u			2.5e-05	0.0	90.0		623.0
Bowles	10.1029/2005GC001141			123.3	37.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.789999999999999e-08		273.0	32	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	33		AL2360-1a	u			2.5e-05	0.0	90.0		673.0
Bowles	10.1029/2005GC001141			121.2	13.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		6.17e-08		273.0	33	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	34		AL2360-1a	u			0.0	0.0	0.0		698.0
Bowles	10.1029/2005GC001141			120.3	43.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.14e-08		273.0	34	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	35		AL2360-1a	u			2.5e-05	0.0	90.0		698.0
Bowles	10.1029/2005GC001141			118.8	16.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		4.4900000000000005e-08		273.0	35	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	36		AL2360-1a	u			0.0	0.0	0.0		723.0
Bowles	10.1029/2005GC001141			119.9	46.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		6.71e-08		273.0	36	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	37		AL2360-1a	u			2.5e-05	0.0	90.0		673.0
