tab 	samples
citations	geologic_classes	geologic_types	lat	lithologies	lithology	lon	method_codes	result_quality	result_type	sample	site
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	19.52	Basalt		204.19				A	Hawaii 1960 Flow
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL2360-1	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL2742-4	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL2770-3	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL2844-2	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL2852-2	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL3023-1	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL3028-2	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL3029-4	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL3029-5	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL3031-1	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass		255.7				AL3034-2	1991-1992 Eruption Site
