Site Name,doi,Lithology,LAT,LON,Year,B_exp,n_site
1991-1992 Eruption Site,10.1029/2005GC001141,lava flow,9.8,-104.3,1991.0,36.20000000000001,53
hw108,10.1016/j.pepi.2014.12.007,lava flow,19.8627,-155.9085,1859.0,39.29999999999999,23
hw123,10.1016/j.pepi.2014.12.007,lava flow,19.07262,-155.7141,1907.0,37.7,12
hw126,10.1016/j.pepi.2014.12.007,lava flow,19.69,-155.46,1935.0,36.4,13
hw128,10.1016/j.pepi.2014.12.007,lava flow,19.26,-155.87,1950.0,36.20000000000001,26
hw201,10.1016/j.pepi.2014.12.007,lava flow,19.36,-154.97,1990.0,35.2,12
hw226,10.1016/j.pepi.2014.12.007,lava flow,19.64,-155.51,1843.0,39.9,11
hw241,10.1016/j.pepi.2014.12.007,lava flow,19.52,-155.81,1960.0,36.0,18
BR06,10.1016/j.pepi.2007.10.002,brick,60.1,24.9,1906.0,49.70000000000002,3
P,"10.1029/2010JB007844, 2011",lava flow,19.3,-102.1,1943.0,44.6,36
VM,"10.1029/2010JB007844, 2013",lava flow,40.8,14.5,1944.0,43.800000000000004,18
BBQ,10.1029/93jb01160 ,submarine lava flow,9.8,-104.3,1990.0,36.20000000000001,12
rs25,10.1016/j.epsl.2009.12.022,synthetic,,,,30.0,5
rs26,10.1016/j.epsl.2009.12.022,synthetic,,,,60.0,5
rs27,10.1016/j.epsl.2009.12.022,synthetic,,,,90.0,10
remag-rs61,10.1016/j.epsl.2011.08.024,synthetic,,,,40.0,6
remag-rs62,10.1016/j.epsl.2011.08.024,synthetic,,,,60.0,6
remag-rs63,10.1016/j.epsl.2011.08.024,synthetic,,,,80.0,5
remag-rs78,10.1016/j.epsl.2011.08.024,synthetic,,,,20.0,4
kf,10.1111/j.1365-246X.2012.05412.x,lava flow,65.7,-16.8,1984.0,52.0,3
Hawaii 1960 Flow,10.1046/j.1365-246X.2003.01909.x,lava flow,19.52,-155.81,1960.0,36.0,22
SW,10.1016/j.pepi.2008.03.006,lava flow,31.6,-130.6,1946.0,46.400000000000006,19
TS,10.1016/j.pepi.2008.03.006,lava flow,31.6,-130.6,1914.0,47.800000000000004,53
ET1,10.1016/j.epsl.2007.03.017,basaltic lava,37.8,15.0,1950.0,43.300000000000004,3
ET2,10.1016/j.epsl.2007.03.017,basaltic lava,37.8,15.0,1979.0,44.1,2
ET3,10.1016/j.epsl.2007.03.017,basaltic lava,37.8,15.0,1983.0,44.199999999999996,4
Synthetic60,10.1016/S1474-7065(03)00122-0,synthetic,,,,60.0,7
LV,10.1029/2009JB006475,Lithic Clasts,-23.35261,67.74319000000003,1993.0,24.0,45
MSH,10.1029/2009JB006475,Lithic Clasts,46.2455,-122.1865,1980.0,55.6,19
FreshTRM,10.1029/2018GC007946,remagnetized/synthetic,,,,70.0,24
