tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_corr_aniso	int_k	int_k_max	int_k_min	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	result_type	sample	size	software_packages	specimen
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				A		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	A-1-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				A		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	A-2-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				A		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	A-3-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				A		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	A-4-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				A		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	A-4-4L
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				A		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	A-5-3
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2360-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2360-1a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2360-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2360-1b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2360-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2360-1c
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2360-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2360-1d
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2360-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2360-1e
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2742-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2742-4a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2742-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2742-4b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2742-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2742-4e
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2742-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2742-4f
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2742-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2742-4g
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2770-3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2770-3a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2770-3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2770-3b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2770-3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2770-3c
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2844-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2844-2a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2844-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2844-2b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2852-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2852-2a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2852-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2852-2b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2852-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2852-2c
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2852-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2852-2d
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2852-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2852-2e
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL2852-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL2852-2f
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3023-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3023-1a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3023-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3023-1b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3028-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3028-2a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3028-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3028-2b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3029-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3029-4a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3029-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3029-4b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3029-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3029-4c
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3029-5		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3029-5a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3031-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3031-1a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3031-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3031-1b
